Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?;Suplement diety to:;Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?;Nadmierne spożycie witaminy D może prowadzić do:;Kto odpowiada za bezpieczeństwo suplementów diety?;Czy suplementy mogą wchodzić w interakcje z lekami?
2;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Nie wiem;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
1;Środek spożywczy uzupełniający dietę;Nie wiem;Nie wiem;Ministerstwo Zdrowia;Tak
2;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Ministerstwo Zdrowia;Nie
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Preparat o udowodnionym działaniu terapeutycznym;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Ministerstwo Zdrowia;Tak
4;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Preparat o udowodnionym działaniu terapeutycznym;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Brak skutków ubocznych;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Tak;Niedokrwistości;Nie wiem;Tak
3;Środek spożywczy uzupełniający dietę;Tylko niektóre;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
1;Środek spożywczy uzupełniający dietę;Nie wiem;Nie wiem;Nie wiem;Nie wiem
3;Środek spożywczy uzupełniający dietę;Tylko niektóre;Uszkodzenia nerek;Producent;Tak
1;Środek spożywczy uzupełniający dietę;Nie wiem;Nie wiem;Sanepid bada każdy produkt przed sprzedażą;Tylko witaminy
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Nie wiem;Tak
3;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
1;Preparat o udowodnionym działaniu terapeutycznym;Tak;Nie wiem;Ministerstwo Zdrowia;Tak
1;Środek spożywczy uzupełniający dietę;Tak;Niedokrwistości;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
1;Środek spożywczy uzupełniający dietę;Nie;Nie wiem;Producent;Tak
3;Preparat o udowodnionym działaniu terapeutycznym;Tak;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie wiem;Brak skutków ubocznych;Producent;Nie wiem
3;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Nie wiem;Tak
2;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
2;Środek spożywczy uzupełniający dietę;Tylko niektóre;Nie wiem;Ministerstwo Zdrowia;Tak
1;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Producent;Tak
4;Produkt leczniczy;Tak;Uszkodzenia nerek;Producent;Tak
1;Preparat o udowodnionym działaniu terapeutycznym;Tak;Brak skutków ubocznych;Ministerstwo Zdrowia;Nie wiem
3;Środek spożywczy uzupełniający dietę;Nie;Brak skutków ubocznych;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Produkt leczniczy;Nie wiem;Nie wiem;Nie wiem;Tak
2;Środek spożywczy uzupełniający dietę;Tak;Brak skutków ubocznych;Ministerstwo Zdrowia;Tak
3;Środek spożywczy uzupełniający dietę;Tylko niektóre;Uszkodzenia nerek;Producent;Tak
4;Produkt leczniczy;Tak;Nie wiem;Nie wiem;Tak
2;Środek spożywczy uzupełniający dietę;Nie wiem;Uszkodzenia nerek;Nie wiem;Tak
2;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Tylko niektóre;Uszkodzenia nerek;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Nie;Niedokrwistości;Sanepid bada każdy produkt przed sprzedażą;Tak
2;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Nie wiem;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Sanepid bada każdy produkt przed sprzedażą;Tak
2;Środek spożywczy uzupełniający dietę;Nie wiem;Uszkodzenia nerek;Nie wiem;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Ministerstwo Zdrowia;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Tylko niektóre;Nie wiem;Sanepid bada każdy produkt przed sprzedażą;Tak
2;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Produkt leczniczy;Tak;Nie wiem;Nie wiem;Tak
2;Produkt leczniczy;Tylko niektóre;Niedokrwistości;Sanepid bada każdy produkt przed sprzedażą;Tak
5;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Nie wiem;Tak
4;Środek spożywczy uzupełniający dietę;Tylko niektóre;Niedokrwistości;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Tylko niektóre;Uszkodzenia nerek;Ministerstwo Zdrowia;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Tylko niektóre;Nie wiem;Nie wiem;Tak
2;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Niedokrwistości;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Tylko niektóre;Uszkodzenia nerek;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie wiem;Niedokrwistości;Nie wiem;Tak
4;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie wiem;Nie wiem;Nie wiem;Tak
4;Środek spożywczy uzupełniający dietę;Tak;Uszkodzenia nerek;Producent;Tak
1;Produkt leczniczy;Nie wiem;Nie wiem;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
4;Produkt leczniczy;Tak;Uszkodzenia nerek;Producent;Tak
1;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Nie wiem;Nie wiem
4;Środek spożywczy uzupełniający dietę;Tak;Niedokrwistości;Producent;Tak
4;Środek spożywczy uzupełniający dietę;Nie wiem;Nie wiem;Producent;Nie wiem
3;Środek spożywczy uzupełniający dietę;Nie wiem;Uszkodzenia nerek;Producent;Tak
3;Środek spożywczy uzupełniający dietę;Nie;Brak skutków ubocznych;Producent;Tak
1;Nie wiem;Nie wiem;Nie wiem;Nie wiem;Tak
5;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
2;Środek spożywczy uzupełniający dietę;Nie wiem;Nie wiem;Nie wiem;Nie wiem
1;Środek spożywczy uzupełniający dietę;Tak;Nie wiem;Producent;Nie wiem
4;Środek spożywczy uzupełniający dietę;Nie;Uszkodzenia nerek;Producent;Tak
