"W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?";"Które źródło uznał(a)byś za najbardziej wiarygodne?";"Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?"
"Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Ciekawość"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Naukowe portale internetowe";"Rzetelne informacje"
"Materiały lub nagrania,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Brak"
"Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Lepsza edukacja"
"Szkolenia,Konsultacja ze specjalistą";"Opinia zespołu lub instytutu";"Brak"
"Materiały lub nagrania,Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Ciekawość"
"Materiały lub nagrania,Szkolenia";"Naukowe portale internetowe";"Brak"
"Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe,Szkolenia,Szkolenia";"Naukowe portale internetowe";"Brak"
"Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Chęć zadbania o zdrowie"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Więcej czasu"
"Materiały lub nagrania,Szkolenia";"Opinia zespołu lub instytutu";"Więcej czasu"
"Materiały lub nagrania,Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Badania naukowe"
"Materiały lub nagrania,Materiały lub nagrania,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Ciekawość"
"Szkolenia,Konsultacja ze specjalistą,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia zespołu lub instytutu";"Lepsza edukacja"
"Materiały lub nagrania,Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą";"Opinia pojedynczego specjalisty";"Chęć zadbania o zdrowie"
"Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Materiały lub nagrania";"Naukowe portale internetowe";"Brak"
"Materiały lub nagrania,Szkolenia,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Nagrania edukacyjne"
"Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Brak"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Rzetelne informacje"
"Materiały lub nagrania,Materiały lub nagrania,Materiały lub nagrania,Posty na Instagramie/TikToku,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Ciekawość"
"Materiały lub nagrania,Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Ciekawość"
"Materiały lub nagrania,Szkolenia,Konsultacja ze specjalistą,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Brak"
"Materiały lub nagrania,Materiały lub nagrania";"Naukowe portale internetowe";"Chęć zadbania o zdrowie"
"Szkolenia";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
"Artykuły naukowe lub popularnonaukowe";"Naukowe portale internetowe";"Więcej czasu"
"Materiały lub nagrania,Szkolenia,Artykuły naukowe lub popularnonaukowe";"Opinia pojedynczego specjalisty";"Brak"
"Szkolenia,Konsultacja ze specjalistą,Posty na Instagramie/TikToku";"Opinia pojedynczego specjalisty";"Rzetelne informacje"
