"Płeć";"Wiek";"Kierunek studiów";"Rok studiów";"Jak często uprawiasz aktywność fizyczną?"
"Kobieta";"23–25";"Administracja ";"I";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Behawiorystyka i psychologia zwierząt ";"I";"3–4 razy w tygodniu"
"Kobieta";">25";"Bezpieczeństwo wewnętrzne ";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Mężczyzna";"20–22";"Business";"III";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Business";"IV";"Rzadziej niż raz w tygodniu"
"Kobieta";"20–22";"Dietetyka";"II";"1–2 razy w tygodniu"
"Kobieta";"20–22";"Dietetyka";"II";"3–4 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"1–2 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Mężczyzna";">25";"Dietetyka";"Studia magisterskie uzupełniające";"5 lub więcej razy w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Dietetyka";"V";"1–2 razy w tygodniu"
"Kobieta";"23–25";"Dietetyka";"V";"3–4 razy w tygodniu"
"Kobieta";"< 20";"Dietetyka";"II";"5 lub więcej razy w tygodniu"
"Kobieta";">25";"Dietetyka";"V";"1–2 razy w tygodniu"
"Kobieta";"23–25";"Dietetyka";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Kobieta";"23–25";"Dietetyka";"V";"5 lub więcej razy w tygodniu"
"Kobieta";"< 20";"Dietetyka";"I";"1–2 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"5 lub więcej razy w tygodniu"
"Kobieta";"23–25";"Dietetyka";"IV";"3–4 razy w tygodniu"
"Kobieta";"23–25";"Dietetyka";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Mężczyzna";">25";"Dietetyka";"Studia magisterskie uzupełniające";"5 lub więcej razy w tygodniu"
"Kobieta";"20–22";"Dietetyka";"III";"1–2 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"IV";"3–4 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"IV";"3–4 razy w tygodniu"
"Kobieta";"23–25";"Dietetyka";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Dietetyka";"V";"3–4 razy w tygodniu"
"Kobieta";">25";"Dietetyka kliniczna";"IV";"1–2 razy w tygodniu"
"Mężczyzna";"23–25";"Dietetyka sportowa";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Kobieta";"< 20";"Filologia";"II";"1–2 razy w tygodniu"
"Mężczyzna";"23–25";"Filologia angielska";"I";"Nigdy"
"Kobieta";"23–25";"Filologia angielska";"III";"Rzadziej niż raz w tygodniu"
"Kobieta";"20–22";"Finanse i rachunkowość ";"II";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Finanse i rachunkowość ";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Finanse i rachunkowość ";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";"20–22";"Fizjoterapia";"III";"5 lub więcej razy w tygodniu"
"Kobieta";">25";"Fizjoterapia";"II";"5 lub więcej razy w tygodniu"
"Kobieta";"< 20";"Fizjoterapia";"III";"Rzadziej niż raz w tygodniu"
"Mężczyzna";">25";"Informatyka";"V";"1–2 razy w tygodniu"
"Mężczyzna";"20–22";"Informatyka";"III";"3–4 razy w tygodniu"
"Kobieta";"20–22";"Informatyka";"V";"1–2 razy w tygodniu"
"Mężczyzna";"20–22";"Informatyka";"II";"3–4 razy w tygodniu"
"Kobieta";">25";"Kryminologia i kryminalistyka ";"Studia magisterskie uzupełniające";"Nigdy"
"Kobieta";">25";"Kryminologia i kryminalistyka ";"III";"1–2 razy w tygodniu"
"Kobieta";">25";"Lekarski";"V";"5 lub więcej razy w tygodniu"
"Kobieta";"20–22";"Logistyka";"III";"Rzadziej niż raz w tygodniu"
"Mężczyzna";"20–22";"Logistyka";"III";"Rzadziej niż raz w tygodniu"
"Mężczyzna";">25";"Logistyka";"IV";"1–2 razy w tygodniu"
"Kobieta";"20–22";"Mediacja sztuki ";"II";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Medycyna";"IV";"Nigdy"
