"Suplement diety to:";"Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?";"Nadmierne spożycie witaminy D może prowadzić do:";"Kto odpowiada za bezpieczeństwo suplementów diety?";"Czy suplementy mogą wchodzić w interakcje z lekami?";"Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Nie wiem";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Ministerstwo Zdrowia";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Nie";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Nie wiem"
"Preparat o udowodnionym działaniu terapeutycznym";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Tak";"Tak"
