Jak często uprawiasz aktywność fizyczną?,Czy aktualnie stosujesz suplementy diety?
Rzadziej niż raz w tygodniu,Nie
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Nie
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Nie
3–4 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
Nigdy,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Nie
5 lub więcej razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
Nigdy,Tak
1–2 razy w tygodniu,Nie
5 lub więcej razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Nie
Nigdy,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
3–4 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
Nigdy,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Nie
1–2 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
1–2 razy w tygodniu,Nie
Rzadziej niż raz w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
3–4 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
3–4 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
5 lub więcej razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
3–4 razy w tygodniu,Tak
3–4 razy w tygodniu,Nie
1–2 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Nie
1–2 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
1–2 razy w tygodniu,Tak
Rzadziej niż raz w tygodniu,Tak
