Indeks obiektywnego poziom wiedzy;"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?"
4;"Nigdy – stosuję się ściśle do zaleceń."
4;"Często – uważam, że standardowe dawki są zbyt niskie."
5;"Nigdy – stosuję się ściśle do zaleceń."
2;"Nigdy – stosuję się ściśle do zaleceń."
4;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Nigdy – stosuję się ściśle do zaleceń."
5;"Nigdy – stosuję się ściśle do zaleceń."
4;"Nigdy – stosuję się ściśle do zaleceń."
4;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
4;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
4;"Nigdy – stosuję się ściśle do zaleceń."
5;"Często – uważam, że standardowe dawki są zbyt niskie."
4;"Nigdy – stosuję się ściśle do zaleceń."
5;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
5;"Nigdy – stosuję się ściśle do zaleceń."
4;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
4;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
4;"Nigdy – stosuję się ściśle do zaleceń."
5;"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie')."
3;"Nigdy – stosuję się ściśle do zaleceń."
3;"Nigdy – stosuję się ściśle do zaleceń."
