Wiek,Czy aktualnie stosujesz suplementy diety?
23–25,Nie
23–25,Tak
>25,Nie
20–22,Tak
>25,Tak
20–22,Tak
20–22,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
23–25,Tak
< 20,Tak
>25,Tak
23–25,Tak
23–25,Tak
< 20,Tak
>25,Tak
23–25,Tak
23–25,Tak
>25,Tak
20–22,Tak
>25,Tak
>25,Tak
23–25,Tak
>25,Nie
>25,Tak
>25,Tak
23–25,Tak
< 20,Tak
23–25,Tak
23–25,Tak
20–22,Tak
>25,Tak
23–25,Nie
20–22,Tak
>25,Tak
< 20,Tak
>25,Tak
20–22,Tak
20–22,Tak
20–22,Tak
>25,Tak
>25,Nie
>25,Tak
20–22,Tak
20–22,Tak
>25,Tak
20–22,Nie
>25,Tak
< 20,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
23–25,Tak
>25,Tak
>25,Tak
>25,Tak
< 20,Tak
>25,Tak
< 20,Tak
20–22,Tak
20–22,Tak
>25,Tak
>25,Tak
< 20,Tak
23–25,Nie
>25,Tak
>25,Tak
< 20,Tak
>25,Tak
>25,Tak
23–25,Tak
>25,Tak
>25,Tak
< 20,Tak
>25,Tak
23–25,Tak
>25,Tak
>25,Tak
23–25,Nie
>25,Tak
>25,Tak
>25,Tak
23–25,Tak
23–25,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
>25,Tak
23–25,Tak
>25,Tak
23–25,Tak
>25,Tak
>25,Nie
23–25,Tak
>25,Tak
>25,Nie
23–25,Tak
>25,Tak
23–25,Tak
>25,Tak
