Indeks obiektywnego poziom wiedzy;"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?"
4;"Tak, każdą suplementację konsultuję z wynikami badań"
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
5;"Tak, każdą suplementację konsultuję z wynikami badań"
2;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
5;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Tak, każdą suplementację konsultuję z wynikami badań"
4;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
5;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
5;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Tak, każdą suplementację konsultuję z wynikami badań"
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Tak, każdą suplementację konsultuję z wynikami badań"
4;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
5;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
5;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
5;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
5;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
3;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
3;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
1;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
3;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
1;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
2;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
2;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
4;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
5;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
2;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Tak, każdą suplementację konsultuję z wynikami badań"
2;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
1;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
3;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
0;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
5;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
0;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
3;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
2;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
3;"Tak, każdą suplementację konsultuję z wynikami badań"
5;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
5;"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów)."
4;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
3;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
2;"Nie, stosuję suplementy bez wykonywania wcześniejszych badań."
4;"Zrobiłem/am badania tylko w przypadku niektórych preparatów."
