Indeks obiektywnego poziom wiedzy;"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?"
4;"Czasami zwracam na to uwagę"
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Stosuję tylko jeden preparat."
2;"Nie, nie sprawdzam tego."
4;"Czasami zwracam na to uwagę"
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Stosuję tylko jeden preparat."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Czasami zwracam na to uwagę"
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Czasami zwracam na to uwagę"
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Czasami zwracam na to uwagę"
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
3;"Nie, nie sprawdzam tego."
3;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
1;"Stosuję tylko jeden preparat."
3;"Stosuję tylko jeden preparat."
1;"Stosuję tylko jeden preparat."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
2;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
2;"Nie, nie sprawdzam tego."
4;"Czasami zwracam na to uwagę"
5;"Czasami zwracam na to uwagę"
4;"Czasami zwracam na to uwagę"
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
2;"Czasami zwracam na to uwagę"
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
2;"Czasami zwracam na to uwagę"
4;"Nie, nie sprawdzam tego."
1;"Nie, nie sprawdzam tego."
3;"Nie, nie sprawdzam tego."
4;"Czasami zwracam na to uwagę"
0;"Nie, nie sprawdzam tego."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
4;"Nie, nie sprawdzam tego."
5;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
0;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
3;"Nie, nie sprawdzam tego."
4;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
2;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
3;"Tak, zawsze analizuję składy pod kątem powtarzających się substancji."
5;"Stosuję tylko jeden preparat."
5;"Nie, nie sprawdzam tego."
4;"Czasami zwracam na to uwagę"
3;"Nie, nie sprawdzam tego."
2;"Nie, nie sprawdzam tego."
4;"Czasami zwracam na to uwagę"
5;"Czasami zwracam na to uwagę"
4;"Stosuję tylko jeden preparat."
