Indeks obiektywnego poziom wiedzy;Indeks samooceny poziomu wiedzy
4;11
4;12
5;9
2;4
4;7
5;12
5;12
4;12
4;15
5;15
5;12
5;10
5;8
5;15
4;10
4;13
5;12
4;14
5;15
5;9
5;15
5;12
5;15
5;15
5;9
5;11
4;13
5;15
4;8
4;15
5;12
3;11
3;9
1;3
3;8
1;5
5;12
2;6
5;10
4;11
2;3
4;5
5;9
4;6
4;10
2;10
5;10
5;15
2;9
4;6
1;6
3;4
4;9
0;5
4;11
4;8
5;11
0;7
3;9
4;9
2;12
3;8
5;5
5;6
4;14
3;5
2;9
4;10
5;11
4;7
2;6
4;12
5;11
2;6
5;10
2;11
1;8
3;13
3;12
5;15
5;11
3;8
5;13
2;9
5;6
4;10
5;12
3;11
2;12
4;12
5;9
2;10
5;10
2;3
5;15
5;14
4;12
1;6
4;13
3;13
4;9
4;9
0;3
5;12
1;8
3;6
5;10
