"Płeć";"Wiek";"Kierunek studiów";"Rok studiów";"Jak często uprawiasz aktywność fizyczną?"
"Kobieta";"23–25";"Administracja";"I";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Bezpieczeństwo wewnętrzne";"Studia magisterskie uzupełniające";"3–4 razy w tygodniu"
"Kobieta";">25";"Dietetyka";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Finanse i rachunkowość";"Studia magisterskie uzupełniające";"Rzadziej niż raz w tygodniu"
"Kobieta";">25";"Kryminologia i kryminalistyka";"III";"1–2 razy w tygodniu"
"Kobieta";"20–22";"Mediacja sztuki";"II";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Psychologia";"V";"Rzadziej niż raz w tygodniu"
"Kobieta";"23–25";"Psychologia";"IV";"1–2 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"3–4 razy w tygodniu"
"Kobieta";">25";"Psychologia";"IV";"Rzadziej niż raz w tygodniu"
