"Czy aktualnie stosujesz suplementy diety?";"Jak często stosujesz suplementy?";"Od jak dawna stosujesz suplementy?";"Jakie suplementy stosujesz? (możesz wybrać więcej odpowiedzi)";"Czy zdarza Ci się przyjmować większą dawkę suplementu niż ta zalecana przez producenta na opakowaniu (np. dwie tabletki zamiast jednej)?";"Jeśli stosujesz więcej niż jeden preparat jednocześnie, czy sprawdzasz, czy ich składniki się nie powielają (np. czy witamina D nie znajduje się zarówno w multiwitaminie, jak i w osobnym preparacie)?";"Czy decyzję o suplementacji konkretnego składnika (np. żelaza, witaminy D, magnezu) poprzedziłeś/aś wykonaniem badań krwi w celu stwierdzenia niedoboru?";"Czy konsultujesz suplementację ze specjalistą?";"Dlaczego stosujesz suplementy? (możesz wybrać więcej odpowiedzi)"
"Nie";"Codziennie";"< 3 miesięcy";"Witamina D,Witamina C";"Nigdy – stosuję się ściśle do zaleceń.";"Czasami zwracam na to uwagę";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Magnez,Witamina C,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Czasami zwracam na to uwagę";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa koncentracji"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Magnez,Witamina C";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Zwiększenie energii,Poprawa koncentracji"
"Nie";"Codziennie";"1–3 lata";"Witamina D,Witamina C,Kwasy omega-3";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Wzmocnienie odporności"
"Nie";"Sporadycznie";"1–3 lata";"Witamina D,Witamina C";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Nie, nie sprawdzam tego.";"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Nie, nie konsultuję";"Zapobieganie niedoborom,Wzmocnienie odporności,Zwiększenie energii,Poprawa samopoczucia"
"Nie";"Sporadycznie";">3 lat";"Witamina D";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra włosy paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia"
"Nie";"Sporadycznie";">3 lat";"Witamina D";"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Stosuję tylko jeden preparat.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z lekarzem";"Poprawa zdrowia,Zwiększenie energii"
"Nie";"Sporadycznie";">3 lat";"Witamina D,Magnez";"Nigdy – stosuję się ściśle do zaleceń.";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Nie, nie konsultuję";"Zapobieganie niedoborom"
"Nie";"Sporadycznie";"< 3 miesięcy";"Witamina D,Witamina C,Kwasy omega-3";"Nigdy – stosuję się ściśle do zaleceń.";"Nie, nie sprawdzam tego.";"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Wzmocnienie odporności,Poprawa koncentracji"
