"Skąd czerpiesz informacje o suplementach?";"W jakiej formie najchętniej zdobywał(a)byś rzetelną wiedzę o suplementach?";"Które źródło uznał(a)byś za najbardziej wiarygodne?";"Co mogłoby zachęcić Cię do zdobywania wiedzy o suplementach?"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Nie wiem";"Tak"
"Nie,nie konsultuję";"Nie wiem";"Ministerstwo Zdrowia";"Tak"
"Tak,z dietetykiem";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek"
"Tak,z dietetykiem";"Nie";"Uszkodzenia nerek";"Producent"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Producent";"Tak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Zapobieganie niedoborom";"Producent";"Tak";"Tak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Producent";"Tak"
"Nie,nie konsultuję";"Producent";"Tak";"Tak"
"Nie,nie konsultuję";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Nie,nie konsultuję";"Uszkodzenia nerek";"Producent";"Tak"
"Białko";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Tak"
"Nigdy – stosuję się ściśle do zaleceń.";"4";"Środek spożywczy uzupełniający dietę";"Tak"
"Tak,każdą suplementację konsultuję z wynikami badań";"Producent";"Tak";"Tak"
"Tak,z lekarzem";"Tak";"Tak";"Infografiki"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Producent";"Tak"
"Nie,nie konsultuję";"Producent";"Tak";"Tak"
"Dietetyk";"Materiały lub nagrania";"Podcasty";"Naukowe portale internetowe"
"Sporadycznie (np. gdy czuję,że 'bierze mnie przeziębienie').";"4";"4";"Brak"
"Lekarz";"Materiały lub nagrania";"Opinia pojedynczego specjalisty";"Brak"
"Zwiększenie energii";"Tak";"Artykuły popularnonaukowe";"Naukowe portale internetowe"
"Nie,stosuję suplementy bez wykonywania wcześniejszych badań.";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Poprawa zdrowia";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Zapobieganie niedoborom";"Nie";"Uszkodzenia nerek";"Producent"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Producent";"Tak"
"Wzmocnienie odporności";"Tak";"Warsztaty na uczelni";"Lekarz"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"4";"Środek spożywczy uzupełniający dietę";"Nie"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie wiem";"Tak";"Tak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak"
"Internet (artykuły blogi)";"Materiały lub nagrania";"Posty na Instagramie/TikToku";"Instytucje zdrowia publicznego"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Producent";"Tak";"Brak"
"Farmaceuta";"Materiały lub nagrania";"Posty na Instagramie/TikToku";"Lekarz"
"Nie,nie konsultuję";"Tak";"Tak";"Podcasty"
"Często – uważam,że standardowe dawki są zbyt niskie.";"Tak";"Uszkodzenia nerek";"Producent"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak"
"Nie,nie konsultuję";"Tak";"Tak";"Krótkie filmy edukacyjne"
"Zapobieganie niedoborom";"Producent";"Tak";"Tak"
"Nie,stosuję suplementy bez wykonywania wcześniejszych badań.";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Tak,z farmaceutą";"Nie wiem";"Producent";"Tak"
"Białko";"Internet (artykuły,blogi),Konsultacja ze specjalistą,Farmaceuta,Znajomi/rodzina";"4";"Brak"
"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra,włosy,paznokcie)";"Nie wiem";"Infografiki";"Posty na Instagramie/TikToku"
"Tak,każdą suplementację konsultuję z wynikami badań";"Uszkodzenia nerek";"Producent";"Tak"
"Nie,nie konsultuję";"Tak";"Tylko minerały";"Krótkie filmy edukacyjne"
"Nie,nie konsultuję";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"Nie czytam zaleceń dotyczących dawkowania na opakowaniu.";"2";"Środek spożywczy uzupełniający dietę";"Tylko niektóre"
"Nie,nie konsultuję";"Uszkodzenia nerek";"Producent";"Tak"
"Poprawa zdrowia";"Nie wiem";"Krótkie filmy edukacyjne";"Podcasty"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Brak skutków ubocznych";"Producent";"Tak"
"Tak,z lekarzem";"Środek spożywczy uzupełniający dietę";"Tak";"Brak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Producent";"Tak"
"Poprawa zdrowia,Zapobieganie niedoborom,Poprawa wyglądu (skóra,włosy,paznokcie),Zwiększenie energii,Poprawa koncentracji";"Nie wiem";"Konsultacje z farmaceutą";"Posty na Instagramie/TikToku"
"Nie,nie sprawdzam tego.";"2";"Środek spożywczy uzupełniający dietę";"Tak"
"Sporadycznie (np. gdy czuję,że 'bierze mnie przeziębienie').";"Tylko niektóre";"Uszkodzenia nerek";"Producent"
"Internet (artykuły blogi),Media społecznościowe,Lekarz";"Materiały lub nagrania";"Posty na Instagramie/TikToku";"Farmaceuta"
"Lekarz";"Materiały lub nagrania";"Podcasty";"Warsztaty na uczelni"
"Znajomi/rodzina";"Szkolenia";"Posty na Instagramie/TikToku";"Artykuły popularnonaukowe"
"Tak,z lekarzem";"2";"2";"Środek spożywczy uzupełniający dietę"
"Poprawa koncentracji";"Nie";"Krótkie filmy edukacyjne";"Posty na Instagramie/TikToku"
"Internet (artykuły blogi),Reklamy";"Materiały lub nagrania";"Artykuły popularnonaukowe";"Instytucje zdrowia publicznego"
"Poprawa wyglądu (skóra,włosy,paznokcie)";"Nie wiem";"Posty na Instagramie/TikToku";"Lekarz"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą"
"Nie,stosuję suplementy bez wykonywania wcześniejszych badań.";"Producent";"Tak";"Tak"
"Poprawa wyglądu (skóra,włosy,paznokcie),Poprawa samopoczucia";"Tak";"Krótkie filmy edukacyjne";"Instytucje zdrowia publicznego"
"Tak,z lekarzem";"Nie";"Uszkodzenia nerek";"Ministerstwo Zdrowia"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"4";"Środek spożywczy uzupełniający dietę";"Nie"
"Zapobieganie niedoborom";"Tak";"Tak";"Konsultacje z farmaceutą"
"Zapobieganie niedoborom";"Producent";"Tak";"Tak"
"Tak,każdą suplementację konsultuję z wynikami badań";"Nie wiem";"Tak";"Nie"
"Zapobieganie niedoborom";"Tylko niektóre";"Niedokrwistości";"Sanepid bada każdy produkt przed sprzedażą"
"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra,włosy,paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Nie wiem";"Krótkie filmy edukacyjne";"Infografiki"
"Nie,stosuję suplementy bez wykonywania wcześniejszych badań.";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Niedokrwistości"
"Nie,nie konsultuję";"Tak";"Uszkodzenia nerek";"Producent"
"Adaptogeny (np. ashwagandha)";"Lekarz";"Opinia pojedynczego specjalisty";"Brak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Tak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Uszkodzenia nerek";"Producent";"Tak"
"Nie,nie konsultuję";"Tak";"Tak";"Krótkie filmy edukacyjne"
"Poprawa zdrowia";"Niedokrwistości";"Producent";"Tak"
"Tak,zawsze analizuję składy pod kątem powtarzających się substancji.";"Nie";"Uszkodzenia nerek";"Producent"
"Białko";"Środek spożywczy uzupełniający dietę";"Tylko niektóre";"Uszkodzenia nerek"
