"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)";"Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5";"Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?";"Suplement diety to:";"Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?";"Nadmierne spożycie witaminy D może prowadzić do:";"Kto odpowiada za bezpieczeństwo suplementów diety?";"Czy suplementy mogą wchodzić w interakcje z lekami?";"Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Znajomi/rodzina";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie"
"Wzmocnienie odporności";"Poprawa samopoczucia";"Reklamy";"Znajomi/rodzina";"2";"1";"1";"Środek spożywczy uzupełniający dietę";"Nie wiem"
"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Media społecznościowe";"Dietetyk";"Farmaceuta";"3";"2";"2"
"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Dietetyk";"Znajomi/rodzina";"4";"4";"4";"Środek spożywczy uzupełniający dietę"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,Znajomi/rodzina";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie"
"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia";"Zapobieganie niedoborom";"Poprawa samopoczucia";"Internet (artykuły, blogi),Lekarz,Dietetyk,książki";"4";"4";"4"
"Wzmocnienie odporności";"Zwiększenie energii";"Internet (artykuły, blogi),Lekarz";"5";"5";"5";"Preparat o udowodnionym działaniu terapeutycznym";"Nie";"Uszkodzenia nerek"
"Tak, każdą suplementację konsultuję z wynikami badań";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe";"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie"
"Zapobieganie niedoborom";"Zwiększenie energii";"Dietetyk";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Lekarz";"Dietetyk";"Badania naukowe";"4";"3";"3"
"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Internet (artykuły, blogi),Dietetyk,Badania naukowe";"3";"2";"3";"Środek spożywczy uzupełniający dietę";"Nie"
"Sporadycznie (np. gdy czuję, że 'bierze mnie przeziębienie').";"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Dietetyk";"5";"5";"5"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Dietetyk";"4";"3";"3";"Środek spożywczy uzupełniający dietę";"Nie"
"Tak, zawsze analizuję składy pod kątem powtarzających się substancji.";"Tak, każdą suplementację konsultuję z wynikami badań";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Dietetyk";"Farmaceuta";"Znajomi/rodzina";"4";"5"
"Tak, z dietetykiem";"Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii";"Dietetyk";"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"Poprawa zdrowia, zlecone przez lekarza";"Internet (artykuły, blogi),Lekarz,Dietetyk,Znajomi/rodzina";"4";"5";"5";"Preparat o udowodnionym działaniu terapeutycznym";"Nie";"Uszkodzenia nerek";"Producent"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z dietetykiem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Dietetyk,Znajomi/rodzina";"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie"
"Poprawa zdrowia";"Wzmocnienie odporności";"Internet (artykuły, blogi),Reklamy,Dietetyk";"2";"3";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek"
"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Czasami zwracam na to uwagę";"Nie, stosuję suplementy bez wykonywania wcześniejszych badań.";"Tak, z dietetykiem";"Poprawa zdrowia";"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Reklamy,Dietetyk"
"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"Internet (artykuły, blogi)";"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak"
"Nie, nie konsultuję";"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Zwiększenie energii";"Internet (artykuły, blogi)";"3";"3";"3"
"Zapobieganie niedoborom";"Wzmocnienie odporności";"Poprawa koncentracji";"Poprawa samopoczucia";"Dietetyk";"PubMed";"4";"4";"3"
"Wzmocnienie odporności";"Zwiększenie energii";"Poprawa koncentracji";"Poprawa samopoczucia";"Dietetyk,badania naukowe, studia";"4";"5";"4";"Środek spożywczy uzupełniający dietę"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Nie, nie konsultuję";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi)";"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie"
"Lekarz";"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Brak skutków ubocznych";"Producent";"Tak"
"Zrobiłem/am badania tylko w przypadku niektórych preparatów.";"Tak, z lekarzem";"Poprawa zdrowia";"Zapobieganie niedoborom";"Wzmocnienie odporności";"Lekarz";"Książki";"4";"4"
"Tak, z lekarzem";"Poprawa zdrowia,Zapobieganie niedoborom,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji,Poprawa samopoczucia";"Internet (artykuły, blogi),Media społecznościowe,Lekarz,Dietetyk";"4";"4";"3";"Środek spożywczy uzupełniający dietę";"Tak";"Niedokrwistości"
"Suplementy dobieram na podstawie własnych obserwacji (np. gorsze samopoczucie, wypadanie włosów).";"Tak, z dietetykiem";"Poprawa zdrowia,Wzmocnienie odporności,Poprawa wyglądu (skóra, włosy, paznokcie),Zwiększenie energii,Poprawa koncentracji";"Internet (artykuły, blogi),Media społecznościowe,Dietetyk,Znajomi/rodzina";"3";"3";"3";"Środek spożywczy uzupełniający dietę";"Tylko niektóre"
"1";"1";"1";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Nie wiem";"Nie wiem";"Tak"
