"Jak oceniasz swoją ogólną wiedzę o suplementach diety? Skala 1–5 (1 – bardzo niska, 5 – bardzo wysoka)";"Jak oceniasz swoją wiedzę na temat bezpieczeństwa suplementacji? Skala 1–5";"Jak oceniasz swoją wiedzę na temat interakcji suplementów z lekami?";"Suplement diety to:";"Czy suplementy muszą przechodzić badania kliniczne przed wprowadzeniem na rynek?";"Nadmierne spożycie witaminy D może prowadzić do:";"Kto odpowiada za bezpieczeństwo suplementów diety?";"Czy suplementy mogą wchodzić w interakcje z lekami?";"Czy suplementy mogą zawierać składniki w ilościach przekraczających zapotrzebowanie?"
"4";"5";"2";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Sanepid bada każdy produkt przed sprzedażą";"Tak";"Tak"
"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Nie wiem";"Tak";"Tak"
"3";"3";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"2";"1";"1";"Środek spożywczy uzupełniający dietę";"Nie wiem";"Nie wiem";"Ministerstwo Zdrowia";"Tak";"Tak"
"3";"2";"2";"Środek spożywczy uzupełniający dietę";"Tak";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Nie";"Tak"
"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Nie wiem"
"5";"5";"5";"Preparat o udowodnionym działaniu terapeutycznym";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"4";"4";"4";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"4";"3";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"3";"2";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"5";"5";"5";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Producent";"Tak";"Tak"
"4";"3";"3";"Środek spożywczy uzupełniający dietę";"Nie";"Uszkodzenia nerek";"Ministerstwo Zdrowia";"Tak";"Tak"
